Task,Start Time,Elapsed Time (seconds),End Time,Quantity
Main - Built up (before initial test) (MI 1.1),10:39:12 AM,1,10:39:13 AM,2
Main - Initial test (MI 1.2, 1.3),10:39:21 AM,2,10:39:23 AM,4
Main - Sat-Com (MI 2.1, 2.2),10:39:29 AM,1,10:39:31 AM,5
Main - Sat-Com (MI 2.1, 2.2),10:43:11 AM,7,10:43:19 AM,3
Sensor - Long Therm Soldering to the board,10:43:17 AM,8,10:43:26 AM,56
Main - Built up (before initial test) (MI 1.1),10:59:20 AM,1,10:59:22 AM,4
Main - Built up (before initial test) (MI 1.1),10:59:25 AM,5,10:59:31 AM,4
Main - Sat-Com (MI 2.1, 2.2),10:59:27 AM,6,10:59:33 AM,6
Main - Mylar install + Solar (MI 3.3, 3.4),10:59:29 AM,6,10:59:36 AM,2
Main - Built up (before initial test) (MI 1.1),11:37:58 AM,2,11:38:00 AM,6000
Apex - Press (PCB) (MI 2.1, 2.2, 2.3),11:40:50 AM,3,11:40:54 AM,3
Main - Built up (before initial test) (MI 1.1),11:43:21 AM,8,11:43:30 AM,5
Main - Initial test (MI 1.2, 1.3),11:43:25 AM,7,11:43:33 AM,7
Main - Built up (before initial test) (MI 1.1),11:44:15 AM,22,11:44:37 AM,6
Apex - Glue (MI 1.1, 1.2, 1.3, 1.4),11:44:19 AM,25,11:44:45 AM,4
Dangly Prep - Folding Aluminum Shield,11:44:24 AM,24,11:44:49 AM,6
Ballast - Red-tag (MI: prep),11:46:04 AM,4,11:46:09 AM,5
Main - Built up (before initial test) (MI 1.1),11:47:31 AM,8,11:47:39 AM,333
Envelope - Neck Sealing,11:47:36 AM,10,11:47:46 AM,333
Apex - Press (PCB) (MI 2.1, 2.2, 2.3),11:56:45 AM,60,11:57:46 AM,2
Apex - Glue (MI 1.1, 1.2, 1.3, 1.4),11:56:41 AM,60,11:57:52 AM,4
Envelope - Box prep,11:57:03 AM,54,11:57:58 AM,6
Envelope - Kapton Donut Cut,11:57:08 AM,54,11:58:03 AM,4
Dangly Prep - Sensor Mylar Cut,11:57:28 AM,169,12:00:17 PM,5
Main (Part_Prep) - Form Cutting (MI 2),12:03:19 PM,214,12:08:32 PM,23
Main (Part_Prep) - Mylar Folding (MI 5),12:03:23 PM,215,12:08:36 PM,4
Main (Part_Prep) - Battery Prep (MI 4),12:03:27 PM,214,12:08:39 PM,34
Main (Part_Prep) - Solar Panel Soldering (MI 6),12:03:32 PM,214,12:08:46 PM,6
Main (Part_Prep) - Mylar Folding (MI 5),12:03:36 PM,216,12:08:51 PM,46
Main (Part_Prep) - Bag cutting & Sealing (MI 3),12:03:48 PM,210,12:08:56 PM,4
Main (Part_Prep) - Mylar laser cut,12:09:26 PM,21,12:09:47 PM,5
Main (Part_Prep) - Wrapping Modem (MI 1),12:09:28 PM,21,12:09:55 PM,4
Main (Part_Prep) - Form Cutting (MI 2),12:09:31 PM,28,12:10:00 PM,1
Main (Part_Prep) - Bag cutting & Sealing (MI 3),12:09:34 PM,28,12:10:03 PM,45
Main (Part_Prep) - Battery Prep (MI 4),12:09:38 PM,34,12:10:13 PM,452
Main (Part_Prep) - Mylar Folding (MI 5),12:09:41 PM,37,12:10:18 PM,65645
Ballast - Red-tag (MI: prep),12:10:34 PM,18,12:10:52 PM,34
Ballast - Sticker Printing (MI: Sticker),12:10:36 PM,19,12:10:56 PM,13
Ballast - Bag cutting (By machine),12:10:39 PM,22,12:11:01 PM,65
Ballast - Bag Prep (MI 1),12:10:41 PM,23,12:11:05 PM,667
Ballast - Actuator (MI 2),12:10:43 PM,26,12:11:09 PM,7654
